blocksize,image,dimgrid,duration
1,image1.pgm,48841,110
1,image1.pgm,48841,90
1,image1.pgm,48841,99
1,image1.pgm,48841,92
1,image1.pgm,48841,92
1,image1.pgm,48841,91
1,image1.pgm,48841,95
1,image1.pgm,48841,91
1,image1.pgm,48841,92
1,image1.pgm,48841,94
1,image1.pgm,48841,91
1,image1.pgm,48841,90
1,image1.pgm,48841,93
1,image1.pgm,48841,95
1,image1.pgm,48841,91
1,image1.pgm,48841,103
1,image1.pgm,48841,91
1,image1.pgm,48841,91
1,image1.pgm,48841,92
1,image1.pgm,48841,92
2,image1.pgm,24421,61
2,image1.pgm,24421,58
2,image1.pgm,24421,57
2,image1.pgm,24421,56
2,image1.pgm,24421,67
2,image1.pgm,24421,57
2,image1.pgm,24421,56
2,image1.pgm,24421,61
2,image1.pgm,24421,57
2,image1.pgm,24421,56
2,image1.pgm,24421,57
2,image1.pgm,24421,62
2,image1.pgm,24421,58
2,image1.pgm,24421,57
2,image1.pgm,24421,58
2,image1.pgm,24421,59
2,image1.pgm,24421,85
2,image1.pgm,24421,58
2,image1.pgm,24421,58
2,image1.pgm,24421,85
3,image1.pgm,16281,49
3,image1.pgm,16281,141
3,image1.pgm,16281,45
3,image1.pgm,16281,50
3,image1.pgm,16281,62
3,image1.pgm,16281,46
3,image1.pgm,16281,46
3,image1.pgm,16281,46
3,image1.pgm,16281,46
3,image1.pgm,16281,55
3,image1.pgm,16281,55
3,image1.pgm,16281,45
3,image1.pgm,16281,51
3,image1.pgm,16281,45
3,image1.pgm,16281,61
3,image1.pgm,16281,46
3,image1.pgm,16281,45
3,image1.pgm,16281,47
3,image1.pgm,16281,45
3,image1.pgm,16281,47
4,image1.pgm,12211,41
4,image1.pgm,12211,40
4,image1.pgm,12211,39
4,image1.pgm,12211,39
4,image1.pgm,12211,39
4,image1.pgm,12211,41
4,image1.pgm,12211,51
4,image1.pgm,12211,39
4,image1.pgm,12211,40
4,image1.pgm,12211,39
4,image1.pgm,12211,41
4,image1.pgm,12211,40
4,image1.pgm,12211,54
4,image1.pgm,12211,39
4,image1.pgm,12211,41
4,image1.pgm,12211,40
4,image1.pgm,12211,46
4,image1.pgm,12211,43
4,image1.pgm,12211,42
4,image1.pgm,12211,41
5,image1.pgm,9769,37
5,image1.pgm,9769,38
5,image1.pgm,9769,45
5,image1.pgm,9769,41
5,image1.pgm,9769,50
5,image1.pgm,9769,37
5,image1.pgm,9769,117
5,image1.pgm,9769,51
5,image1.pgm,9769,37
5,image1.pgm,9769,39
5,image1.pgm,9769,37
5,image1.pgm,9769,39
5,image1.pgm,9769,37
5,image1.pgm,9769,39
5,image1.pgm,9769,38
5,image1.pgm,9769,36
5,image1.pgm,9769,37
5,image1.pgm,9769,37
5,image1.pgm,9769,37
5,image1.pgm,9769,38
6,image1.pgm,8141,36
6,image1.pgm,8141,33
6,image1.pgm,8141,35
6,image1.pgm,8141,46
6,image1.pgm,8141,39
6,image1.pgm,8141,34
6,image1.pgm,8141,35
6,image1.pgm,8141,37
6,image1.pgm,8141,37
6,image1.pgm,8141,36
6,image1.pgm,8141,36
6,image1.pgm,8141,46
6,image1.pgm,8141,41
6,image1.pgm,8141,35
6,image1.pgm,8141,35
6,image1.pgm,8141,36
6,image1.pgm,8141,34
6,image1.pgm,8141,50
6,image1.pgm,8141,34
6,image1.pgm,8141,35
7,image1.pgm,6978,37
7,image1.pgm,6978,33
7,image1.pgm,6978,32
7,image1.pgm,6978,33
7,image1.pgm,6978,32
7,image1.pgm,6978,69
7,image1.pgm,6978,48
7,image1.pgm,6978,34
7,image1.pgm,6978,33
7,image1.pgm,6978,33
7,image1.pgm,6978,34
7,image1.pgm,6978,33
7,image1.pgm,6978,32
7,image1.pgm,6978,34
7,image1.pgm,6978,32
7,image1.pgm,6978,33
7,image1.pgm,6978,37
7,image1.pgm,6978,37
7,image1.pgm,6978,43
7,image1.pgm,6978,41
8,image1.pgm,6106,31
8,image1.pgm,6106,32
8,image1.pgm,6106,32
8,image1.pgm,6106,31
8,image1.pgm,6106,32
8,image1.pgm,6106,42
8,image1.pgm,6106,31
8,image1.pgm,6106,32
8,image1.pgm,6106,30
8,image1.pgm,6106,44
8,image1.pgm,6106,31
8,image1.pgm,6106,32
8,image1.pgm,6106,47
8,image1.pgm,6106,33
8,image1.pgm,6106,39
8,image1.pgm,6106,33
8,image1.pgm,6106,31
8,image1.pgm,6106,31
8,image1.pgm,6106,31
8,image1.pgm,6106,37
9,image1.pgm,5427,30
9,image1.pgm,5427,32
9,image1.pgm,5427,31
9,image1.pgm,5427,31
9,image1.pgm,5427,35
9,image1.pgm,5427,43
9,image1.pgm,5427,33
9,image1.pgm,5427,30
9,image1.pgm,5427,30
9,image1.pgm,5427,30
9,image1.pgm,5427,31
9,image1.pgm,5427,32
9,image1.pgm,5427,31
9,image1.pgm,5427,30
9,image1.pgm,5427,31
9,image1.pgm,5427,30
9,image1.pgm,5427,31
9,image1.pgm,5427,31
9,image1.pgm,5427,31
9,image1.pgm,5427,32
10,image1.pgm,4885,30
10,image1.pgm,4885,30
10,image1.pgm,4885,41
10,image1.pgm,4885,28
10,image1.pgm,4885,33
10,image1.pgm,4885,29
10,image1.pgm,4885,31
10,image1.pgm,4885,35
10,image1.pgm,4885,30
10,image1.pgm,4885,29
10,image1.pgm,4885,42
10,image1.pgm,4885,42
10,image1.pgm,4885,30
10,image1.pgm,4885,43
10,image1.pgm,4885,39
10,image1.pgm,4885,29
10,image1.pgm,4885,32
10,image1.pgm,4885,30
10,image1.pgm,4885,46
10,image1.pgm,4885,29
11,image1.pgm,4441,40
11,image1.pgm,4441,44
11,image1.pgm,4441,30
11,image1.pgm,4441,42
11,image1.pgm,4441,40
11,image1.pgm,4441,42
11,image1.pgm,4441,44
11,image1.pgm,4441,41
11,image1.pgm,4441,28
11,image1.pgm,4441,30
11,image1.pgm,4441,30
11,image1.pgm,4441,42
11,image1.pgm,4441,28
11,image1.pgm,4441,29
11,image1.pgm,4441,30
11,image1.pgm,4441,29
11,image1.pgm,4441,29
11,image1.pgm,4441,29
11,image1.pgm,4441,30
11,image1.pgm,4441,31
12,image1.pgm,4071,29
12,image1.pgm,4071,28
12,image1.pgm,4071,29
12,image1.pgm,4071,29
12,image1.pgm,4071,43
12,image1.pgm,4071,42
12,image1.pgm,4071,30
12,image1.pgm,4071,30
12,image1.pgm,4071,28
12,image1.pgm,4071,30
12,image1.pgm,4071,29
12,image1.pgm,4071,43
12,image1.pgm,4071,31
12,image1.pgm,4071,30
12,image1.pgm,4071,35
12,image1.pgm,4071,42
12,image1.pgm,4071,42
12,image1.pgm,4071,28
12,image1.pgm,4071,27
12,image1.pgm,4071,28
13,image1.pgm,3757,29
13,image1.pgm,3757,37
13,image1.pgm,3757,25
13,image1.pgm,3757,43
13,image1.pgm,3757,40
13,image1.pgm,3757,30
13,image1.pgm,3757,28
13,image1.pgm,3757,29
13,image1.pgm,3757,28
13,image1.pgm,3757,29
13,image1.pgm,3757,35
13,image1.pgm,3757,37
13,image1.pgm,3757,29
13,image1.pgm,3757,42
13,image1.pgm,3757,30
13,image1.pgm,3757,29
13,image1.pgm,3757,28
13,image1.pgm,3757,27
13,image1.pgm,3757,31
13,image1.pgm,3757,30
14,image1.pgm,3489,27
14,image1.pgm,3489,40
14,image1.pgm,3489,28
14,image1.pgm,3489,43
14,image1.pgm,3489,40
14,image1.pgm,3489,49
14,image1.pgm,3489,27
14,image1.pgm,3489,32
14,image1.pgm,3489,26
14,image1.pgm,3489,28
14,image1.pgm,3489,28
14,image1.pgm,3489,27
14,image1.pgm,3489,31
14,image1.pgm,3489,29
14,image1.pgm,3489,27
14,image1.pgm,3489,40
14,image1.pgm,3489,32
14,image1.pgm,3489,49
14,image1.pgm,3489,26
14,image1.pgm,3489,28
15,image1.pgm,3257,28
15,image1.pgm,3257,28
15,image1.pgm,3257,29
15,image1.pgm,3257,28
15,image1.pgm,3257,52
15,image1.pgm,3257,27
15,image1.pgm,3257,54
15,image1.pgm,3257,26
15,image1.pgm,3257,29
15,image1.pgm,3257,27
15,image1.pgm,3257,28
15,image1.pgm,3257,55
15,image1.pgm,3257,27
15,image1.pgm,3257,29
15,image1.pgm,3257,28
15,image1.pgm,3257,28
15,image1.pgm,3257,27
15,image1.pgm,3257,27
15,image1.pgm,3257,27
15,image1.pgm,3257,27
16,image1.pgm,3053,27
16,image1.pgm,3053,27
16,image1.pgm,3053,28
16,image1.pgm,3053,47
16,image1.pgm,3053,28
16,image1.pgm,3053,29
16,image1.pgm,3053,29
16,image1.pgm,3053,28
16,image1.pgm,3053,28
16,image1.pgm,3053,28
16,image1.pgm,3053,27
16,image1.pgm,3053,28
16,image1.pgm,3053,63
16,image1.pgm,3053,28
16,image1.pgm,3053,29
16,image1.pgm,3053,29
16,image1.pgm,3053,30
16,image1.pgm,3053,49
16,image1.pgm,3053,29
16,image1.pgm,3053,29
17,image1.pgm,2873,26
17,image1.pgm,2873,28
17,image1.pgm,2873,27
17,image1.pgm,2873,27
17,image1.pgm,2873,29
17,image1.pgm,2873,29
17,image1.pgm,2873,28
17,image1.pgm,2873,26
17,image1.pgm,2873,29
17,image1.pgm,2873,29
17,image1.pgm,2873,29
17,image1.pgm,2873,40
17,image1.pgm,2873,29
17,image1.pgm,2873,44
17,image1.pgm,2873,29
17,image1.pgm,2873,27
17,image1.pgm,2873,28
17,image1.pgm,2873,28
17,image1.pgm,2873,27
17,image1.pgm,2873,27
18,image1.pgm,2714,27
18,image1.pgm,2714,55
18,image1.pgm,2714,27
18,image1.pgm,2714,41
18,image1.pgm,2714,35
18,image1.pgm,2714,27
18,image1.pgm,2714,29
18,image1.pgm,2714,27
18,image1.pgm,2714,47
18,image1.pgm,2714,27
18,image1.pgm,2714,29
18,image1.pgm,2714,27
18,image1.pgm,2714,28
18,image1.pgm,2714,55
18,image1.pgm,2714,30
18,image1.pgm,2714,27
18,image1.pgm,2714,29
18,image1.pgm,2714,28
18,image1.pgm,2714,27
18,image1.pgm,2714,27
19,image1.pgm,2571,29
19,image1.pgm,2571,28
19,image1.pgm,2571,27
19,image1.pgm,2571,27
19,image1.pgm,2571,28
19,image1.pgm,2571,31
19,image1.pgm,2571,27
19,image1.pgm,2571,28
19,image1.pgm,2571,26
19,image1.pgm,2571,26
19,image1.pgm,2571,27
19,image1.pgm,2571,25
19,image1.pgm,2571,28
19,image1.pgm,2571,27
19,image1.pgm,2571,27
19,image1.pgm,2571,26
19,image1.pgm,2571,28
19,image1.pgm,2571,28
19,image1.pgm,2571,28
19,image1.pgm,2571,28
20,image1.pgm,2443,27
20,image1.pgm,2443,28
20,image1.pgm,2443,27
20,image1.pgm,2443,40
20,image1.pgm,2443,26
20,image1.pgm,2443,26
20,image1.pgm,2443,27
20,image1.pgm,2443,27
20,image1.pgm,2443,30
20,image1.pgm,2443,27
