num_threads,image,duration
1,image1.pgm,0.000214
1,image1.pgm,0.000299
1,image1.pgm,0.000373
1,image1.pgm,0.000375
1,image1.pgm,0.000404
1,image1.pgm,0.000218
1,image1.pgm,0.000344
1,image1.pgm,0.000214
1,image1.pgm,0.000265
1,image1.pgm,0.000351
1,image1.pgm,0.000330
1,image1.pgm,0.000213
1,image1.pgm,0.000303
1,image1.pgm,0.000349
1,image1.pgm,0.000250
1,image1.pgm,0.000376
1,image1.pgm,0.000280
1,image1.pgm,0.000379
1,image1.pgm,0.000345
1,image1.pgm,0.000401
2,image1.pgm,0.000326
2,image1.pgm,0.000301
2,image1.pgm,0.000261
2,image1.pgm,0.000277
2,image1.pgm,0.000270
2,image1.pgm,0.000291
2,image1.pgm,0.000292
2,image1.pgm,0.000255
2,image1.pgm,0.000320
2,image1.pgm,0.000292
2,image1.pgm,0.000309
2,image1.pgm,0.000285
2,image1.pgm,0.000300
2,image1.pgm,0.000288
2,image1.pgm,0.000293
2,image1.pgm,0.000298
2,image1.pgm,0.000286
2,image1.pgm,0.000310
2,image1.pgm,0.000310
2,image1.pgm,0.000289
3,image1.pgm,0.000231
3,image1.pgm,0.000241
3,image1.pgm,0.000246
3,image1.pgm,0.000273
3,image1.pgm,0.000252
3,image1.pgm,0.000231
3,image1.pgm,0.000279
3,image1.pgm,0.000258
3,image1.pgm,0.000258
3,image1.pgm,0.000266
3,image1.pgm,0.000276
3,image1.pgm,0.000248
3,image1.pgm,0.000279
3,image1.pgm,0.000262
3,image1.pgm,0.000246
3,image1.pgm,0.000271
3,image1.pgm,0.000273
3,image1.pgm,0.000270
3,image1.pgm,0.000298
3,image1.pgm,0.000250
4,image1.pgm,0.000263
4,image1.pgm,0.000259
4,image1.pgm,0.000266
4,image1.pgm,0.000245
4,image1.pgm,0.000264
4,image1.pgm,0.000320
4,image1.pgm,0.000274
4,image1.pgm,0.000248
4,image1.pgm,0.000264
4,image1.pgm,0.000264
4,image1.pgm,0.000336
4,image1.pgm,0.000256
4,image1.pgm,0.000306
4,image1.pgm,0.000303
4,image1.pgm,0.000262
4,image1.pgm,0.000308
4,image1.pgm,0.000297
4,image1.pgm,0.000281
4,image1.pgm,0.000288
4,image1.pgm,0.000283
5,image1.pgm,0.000317
5,image1.pgm,0.000328
5,image1.pgm,0.000325
5,image1.pgm,0.000263
5,image1.pgm,0.000329
5,image1.pgm,0.000267
5,image1.pgm,0.000312
5,image1.pgm,0.000314
5,image1.pgm,0.000272
5,image1.pgm,0.000248
5,image1.pgm,0.000225
5,image1.pgm,0.000259
5,image1.pgm,0.000248
5,image1.pgm,0.000252
5,image1.pgm,0.000251
5,image1.pgm,0.000304
5,image1.pgm,0.000252
5,image1.pgm,0.000295
5,image1.pgm,0.000247
5,image1.pgm,0.000273
6,image1.pgm,0.000266
6,image1.pgm,0.000261
6,image1.pgm,0.000258
6,image1.pgm,0.000311
6,image1.pgm,0.000258
6,image1.pgm,0.000264
6,image1.pgm,0.000261
6,image1.pgm,0.000350
6,image1.pgm,0.000302
6,image1.pgm,0.000274
6,image1.pgm,0.000315
6,image1.pgm,0.000278
6,image1.pgm,0.000318
6,image1.pgm,0.000261
6,image1.pgm,0.000519
6,image1.pgm,0.000268
6,image1.pgm,0.000333
6,image1.pgm,0.000458
6,image1.pgm,0.000281
6,image1.pgm,0.000271
7,image1.pgm,0.000284
7,image1.pgm,0.000320
7,image1.pgm,0.000382
7,image1.pgm,0.000358
7,image1.pgm,0.000305
7,image1.pgm,0.000285
7,image1.pgm,0.000285
7,image1.pgm,0.000287
7,image1.pgm,0.000356
7,image1.pgm,0.000280
7,image1.pgm,0.000425
7,image1.pgm,0.000293
7,image1.pgm,0.000283
7,image1.pgm,0.000308
7,image1.pgm,0.000276
7,image1.pgm,0.000280
7,image1.pgm,0.000285
7,image1.pgm,0.000297
7,image1.pgm,0.000284
7,image1.pgm,0.000346
8,image1.pgm,0.000413
