number_nodes,image,time(ms),node_0_lines_handled,node_0_duration(ms),node_0_name,node_0_arch,node_0_speed
1,image1.pgm,314713,221,10,lipsky-b-01,LINUX64,1000
1,image1.pgm,313225,221,10,lipsky-b-01,LINUX64,1000
1,image1.pgm,309608,221,10,lipsky-b-01,LINUX64,1000
1,image1.pgm,312770,221,10,lipsky-b-01,LINUX64,1000
1,image1.pgm,310915,221,0,lipsky-b-01,LINUX64,1000
1,image1.pgm,303800,221,10,lipsky-b-01,LINUX64,1000
1,image1.pgm,309101,221,0,lipsky-b-01,LINUX64,1000
1,image1.pgm,299091,221,10,lipsky-b-01,LINUX64,1000
1,image1.pgm,294880,221,10,lipsky-b-01,LINUX64,1000
1,image1.pgm,298186,221,0,lipsky-b-01,LINUX64,1000
1,image1.pgm,1892157,221,0,lipsky-b-01,LINUX64,1000
1,image1.pgm,2877352,221,20,lipsky-b-01,LINUX64,1000
1,image1.pgm,848781,221,10,lipsky-b-01,LINUX64,1000
1,image1.pgm,305697,221,10,lipsky-b-01,LINUX64,1000
1,image1.pgm,302464,221,0,lipsky-b-01,LINUX64,1000
1,image1.pgm,300254,221,0,lipsky-b-01,LINUX64,1000
1,image1.pgm,323998,221,10,lipsky-b-01,LINUX64,1000
1,image1.pgm,318467,221,10,lipsky-b-01,LINUX64,1000
1,image1.pgm,317459,221,10,lipsky-b-01,LINUX64,1000
1,image1.pgm,316865,221,10,lipsky-b-01,LINUX64,1000
1,MontagneFoncee.pgm,919528,480,40,lipsky-b-01,LINUX64,1000
1,MontagneFoncee.pgm,917330,480,40,lipsky-b-01,LINUX64,1000
1,MontagneFoncee.pgm,925005,480,40,lipsky-b-01,LINUX64,1000
1,MontagneFoncee.pgm,924059,480,40,lipsky-b-01,LINUX64,1000
1,MontagneFoncee.pgm,917945,480,40,lipsky-b-01,LINUX64,1000
1,MontagneFoncee.pgm,913673,480,30,lipsky-b-01,LINUX64,1000
1,MontagneFoncee.pgm,924535,480,40,lipsky-b-01,LINUX64,1000
1,MontagneFoncee.pgm,918103,480,30,lipsky-b-01,LINUX64,1000
1,MontagneFoncee.pgm,920612,480,40,lipsky-b-01,LINUX64,1000
1,MontagneFoncee.pgm,913458,480,30,lipsky-b-01,LINUX64,1000
1,MontagneFoncee.pgm,928920,480,40,lipsky-b-01,LINUX64,1000
1,MontagneFoncee.pgm,913108,480,40,lipsky-b-01,LINUX64,1000
1,MontagneFoncee.pgm,919013,480,30,lipsky-b-01,LINUX64,1000
1,MontagneFoncee.pgm,924589,480,40,lipsky-b-01,LINUX64,1000
1,MontagneFoncee.pgm,912724,480,40,lipsky-b-01,LINUX64,1000
1,MontagneFoncee.pgm,915071,480,40,lipsky-b-01,LINUX64,1000
1,MontagneFoncee.pgm,920954,480,40,lipsky-b-01,LINUX64,1000
1,MontagneFoncee.pgm,919236,480,40,lipsky-b-01,LINUX64,1000
1,MontagneFoncee.pgm,819957,480,20,lipsky-b-01,LINUX64,1000
1,MontagneFoncee.pgm,2669491,480,30,lipsky-b-01,LINUX64,1000
1,stavrovouni.pgm,48921902,2912,1220,lipsky-b-01,LINUX64,1000
1,stavrovouni.pgm,51047851,2912,1180,lipsky-b-01,LINUX64,1000
1,stavrovouni.pgm,43175523,2912,1300,lipsky-b-01,LINUX64,1000
1,stavrovouni.pgm,47332888,2912,1180,lipsky-b-01,LINUX64,1000
1,stavrovouni.pgm,51844296,2912,1190,lipsky-b-01,LINUX64,1000
1,stavrovouni.pgm,52064765,2912,1150,lipsky-b-01,LINUX64,1000
1,stavrovouni.pgm,52017851,2912,1180,lipsky-b-01,LINUX64,1000
1,stavrovouni.pgm,51839316,2912,1140,lipsky-b-01,LINUX64,1000
1,stavrovouni.pgm,44555700,2912,1260,lipsky-b-01,LINUX64,1000
1,stavrovouni.pgm,44144059,2912,1190,lipsky-b-01,LINUX64,1000
1,stavrovouni.pgm,47018109,2912,1190,lipsky-b-01,LINUX64,1000
1,stavrovouni.pgm,41888364,2912,1230,lipsky-b-01,LINUX64,1000
1,stavrovouni.pgm,47047006,2912,1210,lipsky-b-01,LINUX64,1000
1,stavrovouni.pgm,47534331,2912,1180,lipsky-b-01,LINUX64,1000
1,stavrovouni.pgm,51912224,2912,1160,lipsky-b-01,LINUX64,1000
1,stavrovouni.pgm,44102149,2912,1270,lipsky-b-01,LINUX64,1000
1,stavrovouni.pgm,42354557,2912,1210,lipsky-b-01,LINUX64,1000
1,stavrovouni.pgm,47199838,2912,1190,lipsky-b-01,LINUX64,1000
1,stavrovouni.pgm,43127293,2912,1190,lipsky-b-01,LINUX64,1000
1,stavrovouni.pgm,51739371,2912,1180,lipsky-b-01,LINUX64,1000
