number_nodes,image,time(ms),node_0_lines_handled,node_0_duration(ms),node_0_name,node_0_arch,node_0_speed,node_1_lines_handled,node_1_duration(ms),node_1_name,node_1_arch,node_1_speed,node_2_lines_handled,node_2_duration(ms),node_2_name,node_2_arch,node_2_speed
3,image1.pgm,136899,73,0,lipsky-b-01,LINUX64,1000,73,0,lipsky-b-01,LINUX64,1000,74,0,lipsky-b-02,LINUX64,1000
3,image1.pgm,130977,73,0,lipsky-b-01,LINUX64,1000,73,0,lipsky-b-01,LINUX64,1000,74,0,lipsky-b-02,LINUX64,1000
3,image1.pgm,129302,73,0,lipsky-b-01,LINUX64,1000,73,0,lipsky-b-01,LINUX64,1000,74,0,lipsky-b-02,LINUX64,1000
3,image1.pgm,135122,73,0,lipsky-b-01,LINUX64,1000,73,0,lipsky-b-01,LINUX64,1000,74,0,lipsky-b-02,LINUX64,1000
3,image1.pgm,137850,73,0,lipsky-b-01,LINUX64,1000,73,0,lipsky-b-01,LINUX64,1000,74,0,lipsky-b-02,LINUX64,1000
3,image1.pgm,138492,73,0,lipsky-b-01,LINUX64,1000,73,0,lipsky-b-01,LINUX64,1000,74,0,lipsky-b-02,LINUX64,1000
3,image1.pgm,131649,73,0,lipsky-b-01,LINUX64,1000,73,0,lipsky-b-01,LINUX64,1000,74,0,lipsky-b-02,LINUX64,1000
3,image1.pgm,133691,73,0,lipsky-b-01,LINUX64,1000,73,0,lipsky-b-01,LINUX64,1000,74,0,lipsky-b-02,LINUX64,1000
3,image1.pgm,136395,73,0,lipsky-b-01,LINUX64,1000,73,0,lipsky-b-01,LINUX64,1000,74,0,lipsky-b-02,LINUX64,1000
3,image1.pgm,132942,73,0,lipsky-b-01,LINUX64,1000,73,0,lipsky-b-01,LINUX64,1000,74,0,lipsky-b-02,LINUX64,1000
3,image1.pgm,131704,73,0,lipsky-b-01,LINUX64,1000,73,0,lipsky-b-01,LINUX64,1000,74,0,lipsky-b-02,LINUX64,1000
3,image1.pgm,133586,73,0,lipsky-b-01,LINUX64,1000,73,0,lipsky-b-01,LINUX64,1000,74,0,lipsky-b-02,LINUX64,1000
3,image1.pgm,139806,73,0,lipsky-b-01,LINUX64,1000,73,0,lipsky-b-01,LINUX64,1000,74,0,lipsky-b-02,LINUX64,1000
3,image1.pgm,144417,73,0,lipsky-b-01,LINUX64,1000,73,0,lipsky-b-01,LINUX64,1000,74,0,lipsky-b-02,LINUX64,1000
3,image1.pgm,145316,73,0,lipsky-b-01,LINUX64,1000,73,0,lipsky-b-01,LINUX64,1000,74,0,lipsky-b-02,LINUX64,1000
3,image1.pgm,141640,73,0,lipsky-b-01,LINUX64,1000,73,0,lipsky-b-01,LINUX64,1000,74,0,lipsky-b-02,LINUX64,1000
3,image1.pgm,131780,73,0,lipsky-b-01,LINUX64,1000,73,0,lipsky-b-01,LINUX64,1000,74,0,lipsky-b-02,LINUX64,1000
3,image1.pgm,131307,73,0,lipsky-b-01,LINUX64,1000,73,0,lipsky-b-01,LINUX64,1000,74,0,lipsky-b-02,LINUX64,1000
3,image1.pgm,139925,73,0,lipsky-b-01,LINUX64,1000,73,0,lipsky-b-01,LINUX64,1000,74,0,lipsky-b-02,LINUX64,1000
3,image1.pgm,130815,73,0,lipsky-b-01,LINUX64,1000,73,0,lipsky-b-01,LINUX64,1000,74,0,lipsky-b-02,LINUX64,1000
3,MontagneFoncee.pgm,361810,160,10,lipsky-b-01,LINUX64,1000,160,10,lipsky-b-01,LINUX64,1000,160,10,lipsky-b-02,LINUX64,1000
3,MontagneFoncee.pgm,362559,160,10,lipsky-b-01,LINUX64,1000,160,10,lipsky-b-01,LINUX64,1000,160,10,lipsky-b-02,LINUX64,1000
3,MontagneFoncee.pgm,368098,160,10,lipsky-b-01,LINUX64,1000,160,10,lipsky-b-01,LINUX64,1000,160,10,lipsky-b-02,LINUX64,1000
3,MontagneFoncee.pgm,361572,160,0,lipsky-b-01,LINUX64,1000,160,0,lipsky-b-01,LINUX64,1000,160,0,lipsky-b-02,LINUX64,1000
3,MontagneFoncee.pgm,361230,160,10,lipsky-b-01,LINUX64,1000,160,10,lipsky-b-01,LINUX64,1000,160,10,lipsky-b-02,LINUX64,1000
3,MontagneFoncee.pgm,363035,160,10,lipsky-b-01,LINUX64,1000,160,10,lipsky-b-01,LINUX64,1000,160,10,lipsky-b-02,LINUX64,1000
3,MontagneFoncee.pgm,361879,160,0,lipsky-b-01,LINUX64,1000,160,0,lipsky-b-01,LINUX64,1000,160,10,lipsky-b-02,LINUX64,1000
3,MontagneFoncee.pgm,362899,160,0,lipsky-b-01,LINUX64,1000,160,0,lipsky-b-01,LINUX64,1000,160,10,lipsky-b-02,LINUX64,1000
3,MontagneFoncee.pgm,360299,160,0,lipsky-b-01,LINUX64,1000,160,0,lipsky-b-01,LINUX64,1000,160,10,lipsky-b-02,LINUX64,1000
3,MontagneFoncee.pgm,361451,159,0,lipsky-b-01,LINUX64,1000,159,0,lipsky-b-01,LINUX64,1000,160,10,lipsky-b-02,LINUX64,1000
3,MontagneFoncee.pgm,374000,160,10,lipsky-b-01,LINUX64,1000,160,10,lipsky-b-01,LINUX64,1000,160,0,lipsky-b-02,LINUX64,1000
3,MontagneFoncee.pgm,363096,160,10,lipsky-b-01,LINUX64,1000,160,10,lipsky-b-01,LINUX64,1000,160,10,lipsky-b-02,LINUX64,1000
3,MontagneFoncee.pgm,362941,160,10,lipsky-b-01,LINUX64,1000,160,10,lipsky-b-01,LINUX64,1000,160,0,lipsky-b-02,LINUX64,1000
3,MontagneFoncee.pgm,361346,160,10,lipsky-b-01,LINUX64,1000,160,10,lipsky-b-01,LINUX64,1000,160,0,lipsky-b-02,LINUX64,1000
3,MontagneFoncee.pgm,364074,160,10,lipsky-b-01,LINUX64,1000,160,10,lipsky-b-01,LINUX64,1000,160,10,lipsky-b-02,LINUX64,1000
3,MontagneFoncee.pgm,359741,160,10,lipsky-b-01,LINUX64,1000,160,10,lipsky-b-01,LINUX64,1000,160,0,lipsky-b-02,LINUX64,1000
3,MontagneFoncee.pgm,362461,160,10,lipsky-b-01,LINUX64,1000,160,10,lipsky-b-01,LINUX64,1000,160,0,lipsky-b-02,LINUX64,1000
3,MontagneFoncee.pgm,363657,160,10,lipsky-b-01,LINUX64,1000,160,10,lipsky-b-01,LINUX64,1000,160,0,lipsky-b-02,LINUX64,1000
3,MontagneFoncee.pgm,370172,160,10,lipsky-b-01,LINUX64,1000,160,10,lipsky-b-01,LINUX64,1000,160,10,lipsky-b-02,LINUX64,1000
3,MontagneFoncee.pgm,365793,160,10,lipsky-b-01,LINUX64,1000,160,10,lipsky-b-01,LINUX64,1000,160,10,lipsky-b-02,LINUX64,1000
3,stavrovouni.pgm,15555197,970,420,lipsky-b-01,LINUX64,1000,970,420,lipsky-b-01,LINUX64,1000,971,430,lipsky-b-02,LINUX64,1000
3,stavrovouni.pgm,15421172,970,430,lipsky-b-01,LINUX64,1000,970,430,lipsky-b-01,LINUX64,1000,971,430,lipsky-b-02,LINUX64,1000
3,stavrovouni.pgm,15433983,970,430,lipsky-b-01,LINUX64,1000,970,430,lipsky-b-01,LINUX64,1000,971,430,lipsky-b-02,LINUX64,1000
3,stavrovouni.pgm,15458989,970,430,lipsky-b-01,LINUX64,1000,970,430,lipsky-b-01,LINUX64,1000,971,430,lipsky-b-02,LINUX64,1000
3,stavrovouni.pgm,15475051,970,430,lipsky-b-01,LINUX64,1000,970,430,lipsky-b-01,LINUX64,1000,971,430,lipsky-b-02,LINUX64,1000
