number_nodes,image,time(ms),node_0_lines_handled,node_0_duration(ms),node_0_name,node_0_arch,node_0_speed,node_1_lines_handled,node_1_duration(ms),node_1_name,node_1_arch,node_1_speed,node_2_lines_handled,node_2_duration(ms),node_2_name,node_2_arch,node_2_speed,node_3_lines_handled,node_3_duration(ms),node_3_name,node_3_arch,node_3_speed,node_4_lines_handled,node_4_duration(ms),node_4_name,node_4_arch,node_4_speed
5,image1.pgm,101185,44,0,lipsky-b-01,LINUX64,1000,44,0,lipsky-b-01,LINUX64,1000,44,0,lipsky-b-02,LINUX64,1000,44,0,lipsky-b-03,LINUX64,1000,44,0,lipsky-b-04,LINUX64,1000
5,image1.pgm,95947,44,0,lipsky-b-01,LINUX64,1000,44,0,lipsky-b-01,LINUX64,1000,44,0,lipsky-b-02,LINUX64,1000,44,0,lipsky-b-03,LINUX64,1000,44,0,lipsky-b-04,LINUX64,1000
5,image1.pgm,96423,44,0,lipsky-b-01,LINUX64,1000,44,0,lipsky-b-01,LINUX64,1000,44,0,lipsky-b-02,LINUX64,1000,44,0,lipsky-b-03,LINUX64,1000,44,0,lipsky-b-04,LINUX64,1000
5,image1.pgm,99948,44,0,lipsky-b-01,LINUX64,1000,44,0,lipsky-b-01,LINUX64,1000,44,0,lipsky-b-02,LINUX64,1000,44,0,lipsky-b-03,LINUX64,1000,44,0,lipsky-b-04,LINUX64,1000
5,image1.pgm,96923,44,0,lipsky-b-01,LINUX64,1000,44,0,lipsky-b-01,LINUX64,1000,44,0,lipsky-b-02,LINUX64,1000,44,0,lipsky-b-03,LINUX64,1000,44,0,lipsky-b-04,LINUX64,1000
5,image1.pgm,96758,44,0,lipsky-b-01,LINUX64,1000,44,0,lipsky-b-01,LINUX64,1000,44,0,lipsky-b-02,LINUX64,1000,44,0,lipsky-b-03,LINUX64,1000,44,0,lipsky-b-04,LINUX64,1000
5,image1.pgm,96729,44,0,lipsky-b-01,LINUX64,1000,44,0,lipsky-b-01,LINUX64,1000,44,0,lipsky-b-02,LINUX64,1000,44,0,lipsky-b-03,LINUX64,1000,44,0,lipsky-b-04,LINUX64,1000
5,image1.pgm,97784,44,0,lipsky-b-01,LINUX64,1000,44,0,lipsky-b-01,LINUX64,1000,44,0,lipsky-b-02,LINUX64,1000,44,0,lipsky-b-03,LINUX64,1000,44,0,lipsky-b-04,LINUX64,1000
5,image1.pgm,95041,44,0,lipsky-b-01,LINUX64,1000,44,0,lipsky-b-01,LINUX64,1000,44,0,lipsky-b-02,LINUX64,1000,44,0,lipsky-b-03,LINUX64,1000,44,0,lipsky-b-04,LINUX64,1000
5,image1.pgm,97343,44,0,lipsky-b-01,LINUX64,1000,44,0,lipsky-b-01,LINUX64,1000,44,0,lipsky-b-02,LINUX64,1000,44,0,lipsky-b-03,LINUX64,1000,44,0,lipsky-b-04,LINUX64,1000
