number_nodes,image,time(ms),node_0_lines_handled,node_0_duration(ms),node_0_name,node_0_arch,node_0_speed,node_1_lines_handled,node_1_duration(ms),node_1_name,node_1_arch,node_1_speed,node_2_lines_handled,node_2_duration(ms),node_2_name,node_2_arch,node_2_speed,node_3_lines_handled,node_3_duration(ms),node_3_name,node_3_arch,node_3_speed
4,image1.pgm,54,57,0,abe-a-12,LINUX64,1000,57,0,abe-a-12,LINUX64,1000,62,0,abe-a-07,LINUX64,1000,49,0,abe-a-14,LINUX64,1000
4,image1.pgm,50,52,0,abe-a-12,LINUX64,1000,52,0,abe-a-12,LINUX64,1000,58,0,abe-a-07,LINUX64,1000,58,0,abe-a-14,LINUX64,1000
4,image1.pgm,50,56,0,abe-a-12,LINUX64,1000,56,0,abe-a-12,LINUX64,1000,56,0,abe-a-07,LINUX64,1000,51,0,abe-a-14,LINUX64,1000
4,image1.pgm,48,59,0,abe-a-12,LINUX64,1000,59,0,abe-a-12,LINUX64,1000,55,0,abe-a-07,LINUX64,1000,57,0,abe-a-14,LINUX64,1000
4,image1.pgm,50,61,0,abe-a-12,LINUX64,1000,61,0,abe-a-12,LINUX64,1000,57,0,abe-a-07,LINUX64,1000,50,0,abe-a-14,LINUX64,1000
4,image1.pgm,46,54,0,abe-a-12,LINUX64,1000,54,0,abe-a-12,LINUX64,1000,67,0,abe-a-07,LINUX64,1000,52,0,abe-a-14,LINUX64,1000
4,image1.pgm,49,59,0,abe-a-12,LINUX64,1000,59,0,abe-a-12,LINUX64,1000,54,0,abe-a-07,LINUX64,1000,56,0,abe-a-14,LINUX64,1000
4,image1.pgm,48,56,0,abe-a-12,LINUX64,1000,56,0,abe-a-12,LINUX64,1000,58,0,abe-a-07,LINUX64,1000,57,0,abe-a-14,LINUX64,1000
4,image1.pgm,54,48,0,abe-a-12,LINUX64,1000,48,0,abe-a-12,LINUX64,1000,60,0,abe-a-07,LINUX64,1000,56,0,abe-a-14,LINUX64,1000
4,image1.pgm,52,58,0,abe-a-12,LINUX64,1000,58,0,abe-a-12,LINUX64,1000,55,0,abe-a-07,LINUX64,1000,56,0,abe-a-14,LINUX64,1000
4,image1.pgm,54,56,0,abe-a-12,LINUX64,1000,56,0,abe-a-12,LINUX64,1000,57,0,abe-a-07,LINUX64,1000,54,0,abe-a-14,LINUX64,1000
4,image1.pgm,48,56,0,abe-a-12,LINUX64,1000,56,0,abe-a-12,LINUX64,1000,51,0,abe-a-07,LINUX64,1000,56,0,abe-a-14,LINUX64,1000
4,image1.pgm,48,56,0,abe-a-12,LINUX64,1000,56,0,abe-a-12,LINUX64,1000,55,0,abe-a-07,LINUX64,1000,57,0,abe-a-14,LINUX64,1000
